City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Bluff,NZ,54.97,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
100,East London,ZA,63.54,light rain,-33.0153,27.9116,Tu Casa
104,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
105,Lebu,CL,61.79,clear sky,-37.6167,-73.65,Hostal Las Lilas
107,Peniche,PT,51.62,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
108,Isiro,CD,73.92,broken clouds,2.7739,27.616,Guest House Hewa Bora
110,Ngunguru,NZ,62.17,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
115,Airai,TL,61.86,overcast clouds,-8.9266,125.4092,Juvinal Martin
120,Victoria,HK,69.33,few clouds,22.2855,114.1577,Mini Hotel Central
125,Ribeira Grande,PT,59.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
131,Riyadh,SA,68.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
132,Russell,US,67.91,clear sky,32.3502,-85.1999,Macs
134,Flinders,AU,62.2,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
141,Manzil Salim,TN,51.8,clear sky,35.8567,8.4765,mohamed ben khlil omri
142,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
151,Port Macquarie,AU,69.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
160,Tuatapere,NZ,56.97,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
161,Fortuna,US,57.36,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
163,Torbay,CA,52.29,light intensity drizzle,47.6666,-52.7314,Gallows Cove
164,Roswell,US,65.39,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
168,Babu,CN,53.62,clear sky,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
