City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Haines Junction,CA,60.7522,-137.5108,1.35,71,100,6.91,light snow
166,Alofi,NU,-19.0595,-169.9187,84.09,74,100,6.91,overcast clouds
167,Touros,BR,-5.1989,-35.4608,86.9,67,76,13.67,broken clouds
168,Babu,CN,24.4167,111.5167,53.62,74,0,3.44,clear sky
169,Vestmannaeyjar,IS,63.4427,-20.2734,40.14,77,6,23.58,clear sky
170,Artvin,TR,41.1667,41.8333,42.08,97,100,1.74,overcast clouds
171,Santa Cruz,BO,-17.8,-63.1667,87.85,58,75,19.57,broken clouds
172,Barrow,US,71.2906,-156.7887,-9.38,70,1,12.66,haze
173,Tynda,RU,55.1667,124.7167,0.75,90,100,2.06,overcast clouds
174,Khatanga,RU,71.9667,102.5,-15.54,97,100,3.53,overcast clouds
175,Chuy,UY,-33.6971,-53.4616,71.82,61,100,1.34,overcast clouds
176,Nizhnyaya Tavda,RU,57.6731,66.1725,5.25,96,16,5.99,few clouds
177,Atbasar,KZ,51.8,68.3333,3.16,88,70,11.63,broken clouds
178,College,US,64.8569,-147.8028,-10.01,71,40,0.0,scattered clouds
179,Istmina,CO,5.1605,-76.684,76.84,95,99,4.74,light rain
180,Pahrump,US,36.2083,-115.9839,58.62,14,0,1.01,clear sky
181,Igrim,RU,63.1906,64.4162,7.21,89,100,7.02,overcast clouds
182,Severo-Kurilsk,RU,50.6789,156.125,34.63,87,100,4.99,overcast clouds
183,Sitka,US,57.0531,-135.33,40.89,81,90,10.36,moderate rain
184,Port Elizabeth,ZA,-33.918,25.5701,65.1,72,90,23.02,overcast clouds
185,Shimoda,JP,34.6667,138.95,53.1,65,0,24.87,clear sky
186,Sur,OM,22.5667,59.5289,75.78,72,0,0.58,clear sky
187,Ibaiti,BR,-23.8486,-50.1878,87.62,33,36,3.42,scattered clouds
188,Pitanga,BR,-24.7572,-51.7614,78.84,54,100,3.04,overcast clouds
189,Odweyne,SO,9.4092,45.064,70.48,61,8,13.65,clear sky
190,Kapaa,US,22.0752,-159.319,79.12,72,40,1.99,scattered clouds
191,Alice Springs,AU,-23.7,133.8833,65.75,72,90,10.36,overcast clouds
192,Soavinandriana,MG,-19.1667,46.7333,63.57,82,100,3.76,light rain
193,Morehead,US,37.2711,-87.1764,50.14,96,90,1.01,mist
194,Yerbogachen,RU,61.2767,108.0108,6.26,98,100,3.85,overcast clouds
195,Khasan,RU,42.4308,130.6434,26.28,54,92,18.21,overcast clouds
196,Kaeo,NZ,-35.1,173.7833,62.33,93,74,2.26,broken clouds
197,Vieux-Habitants,GP,16.0589,-61.7659,83.77,69,29,1.72,scattered clouds
198,Lompoc,US,34.6391,-120.4579,74.01,37,1,4.61,clear sky
199,Champerico,GT,14.3,-91.9167,93.74,66,83,7.29,broken clouds
200,Luwuk,ID,-0.9516,122.7875,77.86,86,94,3.31,overcast clouds
201,Mayumba,GA,-3.432,10.6554,76.21,88,56,6.69,light rain
202,Goma,CD,-1.6792,29.2228,62.94,92,100,2.33,light rain
203,Dingle,PH,10.9995,122.6711,76.15,94,100,6.04,overcast clouds
204,Aykhal,RU,66.0,111.5,-8.16,100,100,7.02,overcast clouds
205,Necochea,AR,-38.5473,-58.7368,76.03,50,100,6.71,overcast clouds
206,Port-Cartier,CA,50.0334,-66.8654,39.42,71,87,1.57,overcast clouds
207,Arkhangelsk,RU,64.5401,40.5433,6.91,92,75,6.71,broken clouds
208,Gat,IL,31.61,34.7642,64.81,79,5,2.8,clear sky
209,Huarmey,PE,-10.0681,-78.1522,71.62,76,95,11.07,overcast clouds
210,Ponta Do Sol,PT,32.6667,-17.1,64.71,65,100,6.62,overcast clouds
211,Provideniya,RU,64.3833,-173.3,-0.94,81,54,8.1,broken clouds
212,Sijunjung,ID,-0.6876,100.9537,72.64,88,100,1.52,overcast clouds
213,Palmer,US,42.1584,-72.3287,54.55,44,90,4.61,overcast clouds
214,Pangody,RU,65.85,74.4859,5.81,95,100,11.34,overcast clouds
215,Hearst,CA,49.6835,-83.6665,8.85,88,100,9.46,light snow
216,Tiksi,RU,71.6872,128.8694,-0.89,82,100,5.41,overcast clouds
217,Tura,IN,25.5198,90.2201,58.23,68,0,3.2,clear sky
218,Raudeberg,NO,61.9875,5.1352,32.2,94,100,1.99,overcast clouds
219,Suntar,RU,62.1444,117.6319,-4.14,100,86,3.24,overcast clouds
220,Barabinsk,RU,55.3571,78.357,-5.82,99,60,6.71,broken clouds
221,Roald,NO,62.5833,6.1333,34.9,93,75,4.61,light snow
222,Aktau,KZ,43.65,51.2,25.38,52,6,7.07,clear sky
223,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,73,0,20.71,clear sky
224,Suez,EG,29.9737,32.5263,66.2,65,1,6.29,clear sky
225,Sopot,PL,54.4418,18.56,39.88,83,90,12.66,overcast clouds
226,Bethel,US,41.3712,-73.414,55.99,46,90,4.61,overcast clouds
227,Iqaluit,CA,63.7506,-68.5145,24.53,73,75,15.01,broken clouds
228,Pevek,RU,69.7008,170.3133,-11.15,99,100,1.79,overcast clouds
229,Bud,US,39.447,-86.1758,47.43,89,100,14.12,overcast clouds
230,Tucuman,AR,-26.8241,-65.2226,91.4,31,20,4.61,few clouds
231,Inhapim,BR,-19.5492,-42.12,82.99,71,23,4.45,few clouds
232,Vostok,RU,46.4856,135.8833,8.8,97,100,4.41,overcast clouds
233,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,20,4.61,few clouds
234,Andrews,US,32.3187,-102.5457,53.55,27,1,13.8,clear sky
235,Kruszwica,PL,52.6756,18.3313,37.31,80,100,13.62,overcast clouds
236,Tanout,NE,14.9709,8.8879,82.15,15,3,10.47,clear sky
237,Puerto Lopez,CO,4.0845,-72.956,83.73,70,96,1.72,overcast clouds
238,Kinshasa,CD,-4.3246,15.3215,70.54,96,100,1.25,overcast clouds
239,Nezhinka,RU,51.7676,55.3694,26.76,86,90,17.9,light snow
240,Ayan,RU,56.45,138.1667,21.51,74,31,7.78,scattered clouds
241,Hailey,US,43.5196,-114.3153,33.66,47,1,0.0,clear sky
242,Broome,US,42.2506,-75.833,48.02,63,90,1.99,overcast clouds
243,Norman Wells,CA,65.282,-126.8329,-18.36,76,90,13.8,light snow
244,Srednekolymsk,RU,67.45,153.6833,-34.56,100,21,2.48,few clouds
245,Mongoumba,CF,3.6415,18.5936,76.82,51,11,1.81,few clouds
246,Kingman,US,35.1894,-114.053,56.55,12,1,31.07,haze
247,Codrington,AU,-38.2667,141.9667,51.3,66,14,21.77,few clouds
248,Tianpeng,CN,30.9866,103.9393,52.27,68,100,1.28,overcast clouds
249,Socorro,US,31.6546,-106.3033,54.59,35,90,14.97,overcast clouds
250,Goderich,CA,43.7501,-81.7165,43.92,87,100,10.36,overcast clouds
251,Batetskiy,RU,58.6461,30.3027,40.41,87,100,13.6,overcast clouds
252,Adrar,MR,20.5022,-10.0711,80.6,27,93,5.59,overcast clouds
253,Pulsano,IT,40.3821,17.3564,62.53,91,75,3.0,light rain
254,Red Bluff,US,40.1785,-122.2358,59.86,66,1,0.0,clear sky
255,Hasaki,JP,35.7333,140.8333,39.6,50,0,6.62,clear sky
256,Hovd,MN,48.0056,91.6419,30.76,42,100,10.0,overcast clouds
257,Nizhniy Odes,RU,63.6445,54.856,7.68,98,97,4.03,overcast clouds
258,Half Moon Bay,US,37.4636,-122.4286,67.96,48,1,5.75,clear sky
259,Leshukonskoye,RU,64.8989,45.7622,8.78,97,100,3.47,overcast clouds
260,Lorengau,PG,-2.0226,147.2712,80.64,75,97,3.0,overcast clouds
261,Shelton,US,41.3165,-73.0932,56.57,51,75,1.01,broken clouds
262,Kadrina,EE,59.3347,26.145,40.08,96,100,10.45,light rain
263,Agirish,RU,61.9247,63.0231,2.21,95,100,4.47,overcast clouds
264,Vinh,VN,18.6667,105.6667,63.16,83,64,4.59,broken clouds
265,Pacific Grove,US,36.6177,-121.9166,71.31,45,1,1.01,clear sky
266,Sao Filipe,CV,14.8961,-24.4956,78.39,74,98,9.86,overcast clouds
267,Kalianget,ID,-7.05,113.9333,81.28,77,100,2.73,overcast clouds
268,Westport,US,41.1415,-73.3579,57.25,49,75,1.01,broken clouds
269,Punta Alta,AR,-38.8759,-62.0736,87.04,32,3,0.89,clear sky
270,Faanui,PF,-16.4833,-151.75,81.99,76,3,18.63,clear sky
271,Araouane,ML,18.9048,-3.5265,82.27,25,10,7.45,clear sky
272,Kamenka,RU,51.3223,42.7678,28.99,90,81,9.1,broken clouds
273,Zhigansk,RU,66.7697,123.3711,-7.83,85,100,12.03,overcast clouds
274,Atalanti,GR,38.6511,22.9992,50.18,74,100,3.42,overcast clouds
275,Lasa,IT,46.6166,10.7002,42.26,95,100,2.19,overcast clouds
276,Saint-Georges,GD,12.0564,-61.7485,85.68,74,20,0.0,few clouds
277,Varzea Grande,BR,-15.6467,-56.1325,91.27,46,40,6.91,scattered clouds
278,Zeya,RU,53.75,127.2667,17.01,70,100,2.91,overcast clouds
279,Makamba,BI,-4.1348,29.804,63.32,87,100,0.85,overcast clouds
280,Negombo,LK,7.2083,79.8358,73.45,100,20,3.44,few clouds
281,Talnakh,RU,69.4865,88.3972,3.06,96,100,6.22,overcast clouds
282,Tortosa,ES,40.8125,0.5216,50.95,81,100,12.26,overcast clouds
283,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,90.41,36,100,8.12,overcast clouds
284,Shu,KZ,43.5983,73.7614,40.23,85,100,15.95,overcast clouds
285,Tukrah,LY,32.5341,20.5791,72.12,43,37,22.06,scattered clouds
286,Kon Tum,VN,14.35,108.0,63.32,93,66,3.24,broken clouds
287,Kapoeta,SS,4.7717,33.5903,85.23,38,96,4.41,overcast clouds
288,Rayachoti,IN,14.05,78.75,69.78,93,99,1.86,overcast clouds
289,Salisbury,GB,51.0693,-1.7957,40.08,85,0,6.91,clear sky
290,Hualmay,PE,-11.0964,-77.6139,70.83,74,87,11.27,overcast clouds
291,Lavrentiya,RU,65.5833,-171.0,-6.79,88,5,9.08,clear sky
292,Rongcheng,CN,30.634,117.8517,49.24,66,0,2.33,clear sky
293,Ostrovnoy,RU,68.0531,39.5131,17.55,71,100,1.79,overcast clouds
294,Zapolyarnyy,RU,69.4154,30.8136,-8.32,98,100,3.56,overcast clouds
295,Olafsvik,IS,64.8945,-23.7142,35.49,71,11,12.66,few clouds
296,Keti Bandar,PK,24.1447,67.4497,75.97,74,0,4.76,clear sky
297,Kamogawa,JP,35.1,140.1,52.14,66,0,10.22,clear sky
298,Homer,US,59.6425,-151.5483,18.09,84,90,17.27,light snow
299,Kampot,KH,10.6167,104.1833,80.65,82,94,7.96,overcast clouds
300,Willowmore,ZA,-33.2926,23.4895,55.0,75,100,27.47,overcast clouds
301,Marienburg,PL,54.0359,19.0266,39.96,68,100,13.73,overcast clouds
302,Belyy Yar,RU,53.6039,91.3903,27.86,80,100,6.71,smoke
303,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,70,10,10.0,clear sky
304,Kahului,US,20.8947,-156.47,83.46,71,20,16.11,few clouds
305,Turukhansk,RU,65.8167,87.9833,3.87,95,100,8.5,overcast clouds
306,Chingirlau,KZ,51.095,54.0814,24.58,91,100,15.26,overcast clouds
307,Bulancak,TR,40.9372,38.2291,48.02,76,75,2.3,broken clouds
308,Shache,CN,38.4167,77.2406,34.65,36,9,4.65,clear sky
309,Poum,NC,-20.2333,164.0167,76.17,76,0,4.27,clear sky
310,Barinas,VE,8.6226,-70.2075,94.69,75,58,3.2,broken clouds
311,Saint-Denis,FR,48.9167,2.3333,45.09,90,90,1.01,overcast clouds
312,Ingham,US,42.6,-84.3833,46.0,93,90,6.91,light rain
313,Sabang,ID,5.8933,95.3214,79.83,79,100,7.72,overcast clouds
314,Atambua,ID,-9.1061,124.8925,75.38,87,57,1.99,broken clouds
315,Nanga Eboko,CM,4.6833,12.3667,71.58,66,49,2.24,scattered clouds
316,Dracena,BR,-21.4843,-51.535,92.84,36,36,12.17,scattered clouds
317,Kytmanovo,RU,53.4593,85.4479,20.3,94,100,16.22,light snow
318,Varnavino,RU,57.4035,45.0916,21.04,95,97,7.83,overcast clouds
319,Yulara,AU,-25.2406,130.9889,62.44,72,0,9.22,clear sky
320,Bilma,NE,18.6853,12.9164,78.82,17,0,6.91,clear sky
321,Abu Samrah,SY,35.3029,37.1841,57.33,74,28,3.53,scattered clouds
322,Nouadhibou,MR,20.931,-17.0347,78.78,61,26,6.91,scattered clouds
323,Sangar,RU,63.9242,127.4739,-12.37,89,100,5.79,overcast clouds
324,San Juan,AR,-31.5375,-68.5364,91.8,15,0,10.89,clear sky
325,Elko,US,41.0002,-115.5012,37.74,50,15,3.0,few clouds
326,Maragogi,BR,-9.0122,-35.2225,80.82,74,15,11.86,few clouds
327,Kununurra,AU,-15.7667,128.7333,80.58,89,49,1.14,scattered clouds
328,Hervey Bay,AU,-25.2986,152.8535,74.03,94,98,4.0,moderate rain
329,Carcassonne,FR,43.25,2.1667,49.64,90,90,8.05,light rain
330,Chara,RU,56.9064,118.2631,-7.24,74,5,1.57,clear sky
331,Moerai,PF,-22.4333,-151.3333,76.42,87,33,10.89,light rain
332,Kourou,GF,5.1552,-52.6478,84.25,73,51,5.39,broken clouds
333,Jennings,US,38.7192,-90.2604,40.98,70,75,5.99,broken clouds
334,Pisco,PE,-13.7,-76.2167,71.65,68,0,14.97,clear sky
335,Gazanjyk,TM,39.2446,55.5154,43.36,41,100,12.82,overcast clouds
336,Hammerfest,NO,70.6634,23.6821,26.33,63,0,8.05,clear sky
337,Vila Velha,BR,-20.3297,-40.2925,80.55,76,0,1.99,clear sky
338,Luderitz,NA,-26.6481,15.1594,60.51,94,16,5.01,few clouds
339,Mandurah,AU,-32.55,115.7,69.22,60,44,14.16,scattered clouds
340,Clinton,US,42.587,-82.9199,47.21,92,90,1.99,light rain
341,Kyaikto,MM,17.3,97.0167,74.79,88,23,4.0,few clouds
342,Hirara,JP,24.8,125.2833,73.76,68,100,17.94,overcast clouds
343,Tsabong,BW,-26.0217,22.401,81.91,16,100,13.69,overcast clouds
344,Karabulak,RU,43.3036,44.8964,34.36,94,53,2.8,broken clouds
345,Skjervoy,NO,70.0311,20.9714,26.78,65,100,17.13,overcast clouds
346,San Patricio,US,28.017,-97.5169,80.46,64,99,21.74,light rain
347,Aklavik,CA,68.2191,-135.0107,-9.4,77,75,10.36,broken clouds
